query,intent,brand,model,year,sensor
pull Boot latch sensor history for 07,imperative_commands,Jiyue,07,2024,Boot latch sensor
same info but for Jiyue 07,contextual_followups,Jiyue,07,2025,Boot latch sensor
how LiDAR works in Lotus Emira?,data_definition,Lotus,Emira,2023,LiDAR
abnormal LiDAR readings Z10,anomaly_info,Lynk & Co,Z10,2024,LiDAR
Tyre Pressure description Lotus Evija,data_definition,Lotus,Evija,2021,Tyre Pressure
why we use HDF5 for LiDAR?,data_definition,Jiyue,01,2023,LiDAR
what is LIDAR average in 009?,statistical_query,Zeekr,009,2022,LIDAR
avg value for Trunk sensor Panda Mini,statistical_query,Geely Auto,Panda Mini,2024,Trunk sensor
definition of Control Network telemetry Polestar,data_definition,Polestar,Polestar 5,2025,Control Network
who is owner Tyre Pressure data?,access_governance,Zeekr,007,2025,Tyre Pressure
since when Bonnet sensor collected Lynk & Co?,temporal_stats,Lynk & Co,03 TCR,2024,Bonnet sensor
bad data points in CANBUS Polestar 2,anomaly_info,Polestar,Polestar 2,2024,CANBUS
is TPMS more accurate in Galaxy L7 or Panda Mini?,comparative_analysis,Geely Auto,Galaxy L7,2023,TPMS
roof rig needed for hood sensor,collection_method,Lynk & Co,03 TCR,2022,Hood sensor
is Vision system real-time or offline?,collection_method,Volvo,XC60,2022,Vision system
tell me more about LoDAR context,contextual_followups,Volvo,EM90,2024,LiDAR
responsible person for NVH Zeekr,access_governance,Zeekr,X,2025,NVH
compare Tire Pressure between Evija and Emira,comparative_analysis,Lotus,Evija,2022,Tire Pressure
pull Hood sensor history for Polestar 4,imperative_commands,Polestar,Polestar 4,2024,Hood sensor
why stop? (CAN-FD),contextual_followups,Lynk & Co,Z10,2025,CAN-FD
special attachments for 05 TPMS?,collection_method,Lynk & Co,05,2023,TPMS
any issues with NVH logs today?,system_status_check,Zeekr,X,2024,NVH
contact for Evija Trunk sensor access,access_governance,Lotus,Evija,2021,Trunk sensor
ix Acoustics real-time or offline?,collection_method,Zeekr,X,2025,Acoustics
tell me more about Acoustics context,contextual_followups,Volvo,S90,2016,Acoustics
show Lotus NVH owner now,imperative_commands,Lotus,Eletre,2023,NVH
how HV battery workx in Lotus Emeya?,data_definition,Lotus,Emeya,2025,HV battery
why Tore Pressure collection discontinued S90?,temporal_stats,Volvo,S90,2025,Tire Pressure
who has access to adas camera logs for zeekr,access_governance,Zeekr,001,2023,ADAS Camera
